APRI,https://globenewswire.com/news-release/2015/09/17/768948/10149672/en/Apricus-Reports-Top-Line-Phase-2a-Data-for-RayVa-TM-Its-Topical-Treatment-for-Raynaud-s-Phenomenon.html,9/17/15,7:00
ATTBF,https://www.nasdaq.com/press-release/abattis-announces-cannanumus-achievement-of-second-milestone-20180220-01270,2/20/18,13:48
ACRS,https://www.businesswire.com/news/home/20150127005154/en/Aclaris-Therapeutics-Announces-Positive-Results-Phase-2b,1/27/15,8:30
ADMP,http://ir.adamispharmaceuticals.com/news-releases/news-release-details/adamis-pharmaceuticals-announces-positive-pharmacokinetic-study,3/5/15,9:00
ARPO,https://www.businesswire.com/news/home/20151117006508/en/Aerpio-Therapeutics-Reports-Positive-Clinical-Results-Phase,11/17/15,11:40
ATBPF,https://www.nasdaq.com/press-release/antibe-therapeutics-announces-successful-phase-2b-gastrointestinal-safety-study-for-lead-pain-drug-20180320-00584,3/20/18,8:35
ARDM,https://www.reuters.com/article/idUSFWN1DW0AF,12/1/16,7:35
ASMB,https://www.nasdaq.com/press-release/assembly-biosciences-presents-positive-interim-data-from-phase-1a-and-1b-studies-of-abih0731-in-hb-20180412-00128,4/12/18,3:10
AXSM,https://www.nasdaq.com/press-release/axsome-therapeutics-announces-primary-endpoint-met-in-phase-1-trial-of-next-generation-product-20180226-00388,2/26/18,7:00
AYTU,https://www.nasdaq.com/press-release/aytu-bioscience-provides-update-on-the-continued-growth-of-natesto-in-the-us-20180221-00562,2/21/18,8:05
