EARS,https://globenewswire.com/news-release/2017/11/28/1206748/0/en/Auris-Medical-Reports-Top-Line-Results-from-Phase-3-Trial-of-AM-111-in-Sudden-Deafness.html,11/28/17,6:40
DERM,https://www.nasdaq.com/press-release/dermiras-two-phase-3-trials-evaluating-olumacostat-glasaretil-in-patients-with-acne-vulgaris-did-20180305-00410,3/5/18,7:59
RDY,https://www.nasdaq.com/press-release/dr-reddys-laboratories-announces-the-launch-of-palonosetron-hydrochloride-injection-in-the-us-market-20180326-00035,3/26/18,1:34
JNP,http://ir.juniperpharma.com/news-releases/news-release-details/juniper-pharmaceuticals-reports-results-phase-2b-clinical-trial,7/17/16,17:25
MNLO,https://www.nasdaq.com/press-release/menlo-therapeutics-announces-results-from-a-phase-2-trial-of-serlopitant-for-pruritus-associated-20180408-00021,4/8/18,18:00
RETA,https://www.nasdaq.com/press-release/reata-provides-update-on-the-phase-2-portion-of-the-cardinal-study-of-bardoxolone-methyl-in-20180411-01067,4/11/18,16:15
TTPH,https://www.nasdaq.com/press-release/tetraphase-announces-topline-results-from-ignite3-phase-3-clinical-trial-of-eravacycline-in-20180213-01107,2/13/18,16:01
NKTR,https://www.streetinsider.com/Corporate+News/Nektar+Therapeutics+%28NKTR%29+Reports+Phase+III+Study+with+Amikacin+Inhale+Does+Not+Meet+Primary+Endpoint+of+Superiority/13538398.html,11/27/17,5:37
GWPH,https://www.nasdaq.com/press-release/gw-pharmaceuticals-announces-preliminary-results-of-phase-2a-study-for-its-pipeline-compound-20180221-01150,2/21/18,16:01
MTFB,https://www.nasdaq.com/press-release/motif-bio-update-on-nda-submission-for-iclaprim-20180320-00084,3/20/18,3:00
